sku,Total_Revenue,Total_Quantity,ASP
J0105-KR-M,10595.0,10,1059.5
J0105-KR-S,5158.43,3,1719.4766666666667
J0105-KR-XL,13305.0,13,1023.4615384615385
J0105-KR-XS,2997.0,3,999.0
J0105-KR-XXL,5994.0,6,999.0
J0105-KR-XXXL,5934.0,6,989.0
J0106-KR-L,5779.29,5,1155.858
J0106-KR-M,14543.0,11,1322.090909090909
J0106-KR-S,11994.0,11,1090.3636363636363
J0106-KR-XL,10220.0,10,1022.0
J0106-KR-XS,2997.0,3,999.0
J0106-KR-XXL,9285.86,8,1160.7325
J0106-KR-XXXL,14244.0,14,1017.4285714285714
J0108-SKD-L,16890.46,13,1299.2661538461539
J0108-SKD-M,28760.89,23,1250.4734782608696
J0108-SKD-S,5138.0,4,1284.5
J0108-SKD-XL,15625.79,13,1201.9838461538461
J0108-SKD-XS,5754.0,5,1150.8
J0108-SKD-XXL,7953.0,8,994.125
J0108-SKD-XXXL,14831.0,13,1140.8461538461538
J0109-SKD-L,7265.0,6,1210.8333333333333
J0109-SKD-M,1804.0,1,1804.0
J0109-SKD-S,1199.0,1,1199.0
J0109-SKD-XL,8577.0,7,1225.2857142857142
J0109-SKD-XS,1070.54,0,inf
J0109-SKD-XXL,7249.04,5,1449.808
J0109-SKD-XXXL,4681.54,3,1560.5133333333333
J0110-SKD-L,826.0,1,826.0
J0110-SKD-M,3270.0,3,1090.0
J0110-SKD-S,864.0,1,864.0
J0110-SKD-XL,1728.0,2,864.0
J0110-SKD-XXL,864.0,1,864.0
J0111-TP-L,3748.0,6,624.6666666666666
J0111-TP-M,423.0,1,423.0
J0111-TP-S,2538.0,6,423.0
J0111-TP-XL,8895.86,17,523.2858823529413
J0111-TP-XS,3325.0,5,665.0
J0111-TP-XXL,12272.72,24,511.3633333333333
J0111-TP-XXXL,13192.0,26,507.38461538461536
J0112-TP-L,3514.0,10,351.4
J0112-TP-M,2113.0,6,352.1666666666667
J0112-TP-S,708.0,2,354.0
J0112-TP-XL,4218.0,12,351.5
J0112-TP-XS,1754.0,5,350.8
J0112-TP-XXL,2104.0,6,350.6666666666667
J0112-TP-XXXL,1411.0,4,352.75
J0113-TP-L,9789.0,17,575.8235294117648
J0113-TP-M,31902.67,51,625.5425490196078
J0113-TP-S,13932.0,24,580.5
J0113-TP-XL,20926.0,37,565.5675675675676
J0113-TP-XS,10064.0,20,503.2
J0113-TP-XXL,21544.67,33,652.8687878787878
J0113-TP-XXXL,13564.0,23,589.7391304347826
